seed,attack_variant,split,class_name,num_episodes,num_windows,episode_ids,window_episode_count
42,fixed_max_action,train,clean,30,8310,seed42_clean_train_000|seed42_clean_train_001|seed42_clean_train_002|seed42_clean_train_003|seed42_clean_train_004|seed42_clean_train_005|seed42_clean_train_006|seed42_clean_train_007|seed42_clean_train_008|seed42_clean_train_009|seed42_clean_train_010|seed42_clean_train_011|seed42_clean_train_012|seed42_clean_train_013|seed42_clean_train_014|seed42_clean_train_015|seed42_clean_train_016|seed42_clean_train_017|seed42_clean_train_018|seed42_clean_train_019|seed42_clean_train_020|seed42_clean_train_021|seed42_clean_train_022|seed42_clean_train_023|seed42_clean_train_024|seed42_clean_train_025|seed42_clean_train_026|seed42_clean_train_027|seed42_clean_train_028|seed42_clean_train_029,30
42,fixed_max_action,train,backdoor,30,8310,seed42_fixed_max_action_train_000|seed42_fixed_max_action_train_001|seed42_fixed_max_action_train_002|seed42_fixed_max_action_train_003|seed42_fixed_max_action_train_004|seed42_fixed_max_action_train_005|seed42_fixed_max_action_train_006|seed42_fixed_max_action_train_007|seed42_fixed_max_action_train_008|seed42_fixed_max_action_train_009|seed42_fixed_max_action_train_010|seed42_fixed_max_action_train_011|seed42_fixed_max_action_train_012|seed42_fixed_max_action_train_013|seed42_fixed_max_action_train_014|seed42_fixed_max_action_train_015|seed42_fixed_max_action_train_016|seed42_fixed_max_action_train_017|seed42_fixed_max_action_train_018|seed42_fixed_max_action_train_019|seed42_fixed_max_action_train_020|seed42_fixed_max_action_train_021|seed42_fixed_max_action_train_022|seed42_fixed_max_action_train_023|seed42_fixed_max_action_train_024|seed42_fixed_max_action_train_025|seed42_fixed_max_action_train_026|seed42_fixed_max_action_train_027|seed42_fixed_max_action_train_028|seed42_fixed_max_action_train_029,30
42,fixed_max_action,val,clean,10,2770,seed42_clean_val_000|seed42_clean_val_001|seed42_clean_val_002|seed42_clean_val_003|seed42_clean_val_004|seed42_clean_val_005|seed42_clean_val_006|seed42_clean_val_007|seed42_clean_val_008|seed42_clean_val_009,10
42,fixed_max_action,val,backdoor,10,2770,seed42_fixed_max_action_val_000|seed42_fixed_max_action_val_001|seed42_fixed_max_action_val_002|seed42_fixed_max_action_val_003|seed42_fixed_max_action_val_004|seed42_fixed_max_action_val_005|seed42_fixed_max_action_val_006|seed42_fixed_max_action_val_007|seed42_fixed_max_action_val_008|seed42_fixed_max_action_val_009,10
42,fixed_max_action,test,clean,10,2770,seed42_clean_test_000|seed42_clean_test_001|seed42_clean_test_002|seed42_clean_test_003|seed42_clean_test_004|seed42_clean_test_005|seed42_clean_test_006|seed42_clean_test_007|seed42_clean_test_008|seed42_clean_test_009,10
42,fixed_max_action,test,backdoor,10,2770,seed42_fixed_max_action_test_000|seed42_fixed_max_action_test_001|seed42_fixed_max_action_test_002|seed42_fixed_max_action_test_003|seed42_fixed_max_action_test_004|seed42_fixed_max_action_test_005|seed42_fixed_max_action_test_006|seed42_fixed_max_action_test_007|seed42_fixed_max_action_test_008|seed42_fixed_max_action_test_009,10
42,subtle_action,train,clean,30,8310,seed42_clean_train_000|seed42_clean_train_001|seed42_clean_train_002|seed42_clean_train_003|seed42_clean_train_004|seed42_clean_train_005|seed42_clean_train_006|seed42_clean_train_007|seed42_clean_train_008|seed42_clean_train_009|seed42_clean_train_010|seed42_clean_train_011|seed42_clean_train_012|seed42_clean_train_013|seed42_clean_train_014|seed42_clean_train_015|seed42_clean_train_016|seed42_clean_train_017|seed42_clean_train_018|seed42_clean_train_019|seed42_clean_train_020|seed42_clean_train_021|seed42_clean_train_022|seed42_clean_train_023|seed42_clean_train_024|seed42_clean_train_025|seed42_clean_train_026|seed42_clean_train_027|seed42_clean_train_028|seed42_clean_train_029,30
42,subtle_action,train,backdoor,30,8310,seed42_subtle_action_train_000|seed42_subtle_action_train_001|seed42_subtle_action_train_002|seed42_subtle_action_train_003|seed42_subtle_action_train_004|seed42_subtle_action_train_005|seed42_subtle_action_train_006|seed42_subtle_action_train_007|seed42_subtle_action_train_008|seed42_subtle_action_train_009|seed42_subtle_action_train_010|seed42_subtle_action_train_011|seed42_subtle_action_train_012|seed42_subtle_action_train_013|seed42_subtle_action_train_014|seed42_subtle_action_train_015|seed42_subtle_action_train_016|seed42_subtle_action_train_017|seed42_subtle_action_train_018|seed42_subtle_action_train_019|seed42_subtle_action_train_020|seed42_subtle_action_train_021|seed42_subtle_action_train_022|seed42_subtle_action_train_023|seed42_subtle_action_train_024|seed42_subtle_action_train_025|seed42_subtle_action_train_026|seed42_subtle_action_train_027|seed42_subtle_action_train_028|seed42_subtle_action_train_029,30
42,subtle_action,val,clean,10,2770,seed42_clean_val_000|seed42_clean_val_001|seed42_clean_val_002|seed42_clean_val_003|seed42_clean_val_004|seed42_clean_val_005|seed42_clean_val_006|seed42_clean_val_007|seed42_clean_val_008|seed42_clean_val_009,10
42,subtle_action,val,backdoor,10,2770,seed42_subtle_action_val_000|seed42_subtle_action_val_001|seed42_subtle_action_val_002|seed42_subtle_action_val_003|seed42_subtle_action_val_004|seed42_subtle_action_val_005|seed42_subtle_action_val_006|seed42_subtle_action_val_007|seed42_subtle_action_val_008|seed42_subtle_action_val_009,10
42,subtle_action,test,clean,10,2770,seed42_clean_test_000|seed42_clean_test_001|seed42_clean_test_002|seed42_clean_test_003|seed42_clean_test_004|seed42_clean_test_005|seed42_clean_test_006|seed42_clean_test_007|seed42_clean_test_008|seed42_clean_test_009,10
42,subtle_action,test,backdoor,10,2770,seed42_subtle_action_test_000|seed42_subtle_action_test_001|seed42_subtle_action_test_002|seed42_subtle_action_test_003|seed42_subtle_action_test_004|seed42_subtle_action_test_005|seed42_subtle_action_test_006|seed42_subtle_action_test_007|seed42_subtle_action_test_008|seed42_subtle_action_test_009,10
42,probabilistic,train,clean,30,8310,seed42_clean_train_000|seed42_clean_train_001|seed42_clean_train_002|seed42_clean_train_003|seed42_clean_train_004|seed42_clean_train_005|seed42_clean_train_006|seed42_clean_train_007|seed42_clean_train_008|seed42_clean_train_009|seed42_clean_train_010|seed42_clean_train_011|seed42_clean_train_012|seed42_clean_train_013|seed42_clean_train_014|seed42_clean_train_015|seed42_clean_train_016|seed42_clean_train_017|seed42_clean_train_018|seed42_clean_train_019|seed42_clean_train_020|seed42_clean_train_021|seed42_clean_train_022|seed42_clean_train_023|seed42_clean_train_024|seed42_clean_train_025|seed42_clean_train_026|seed42_clean_train_027|seed42_clean_train_028|seed42_clean_train_029,30
42,probabilistic,train,backdoor,30,8310,seed42_probabilistic_train_000|seed42_probabilistic_train_001|seed42_probabilistic_train_002|seed42_probabilistic_train_003|seed42_probabilistic_train_004|seed42_probabilistic_train_005|seed42_probabilistic_train_006|seed42_probabilistic_train_007|seed42_probabilistic_train_008|seed42_probabilistic_train_009|seed42_probabilistic_train_010|seed42_probabilistic_train_011|seed42_probabilistic_train_012|seed42_probabilistic_train_013|seed42_probabilistic_train_014|seed42_probabilistic_train_015|seed42_probabilistic_train_016|seed42_probabilistic_train_017|seed42_probabilistic_train_018|seed42_probabilistic_train_019|seed42_probabilistic_train_020|seed42_probabilistic_train_021|seed42_probabilistic_train_022|seed42_probabilistic_train_023|seed42_probabilistic_train_024|seed42_probabilistic_train_025|seed42_probabilistic_train_026|seed42_probabilistic_train_027|seed42_probabilistic_train_028|seed42_probabilistic_train_029,30
42,probabilistic,val,clean,10,2770,seed42_clean_val_000|seed42_clean_val_001|seed42_clean_val_002|seed42_clean_val_003|seed42_clean_val_004|seed42_clean_val_005|seed42_clean_val_006|seed42_clean_val_007|seed42_clean_val_008|seed42_clean_val_009,10
42,probabilistic,val,backdoor,10,2770,seed42_probabilistic_val_000|seed42_probabilistic_val_001|seed42_probabilistic_val_002|seed42_probabilistic_val_003|seed42_probabilistic_val_004|seed42_probabilistic_val_005|seed42_probabilistic_val_006|seed42_probabilistic_val_007|seed42_probabilistic_val_008|seed42_probabilistic_val_009,10
42,probabilistic,test,clean,10,2770,seed42_clean_test_000|seed42_clean_test_001|seed42_clean_test_002|seed42_clean_test_003|seed42_clean_test_004|seed42_clean_test_005|seed42_clean_test_006|seed42_clean_test_007|seed42_clean_test_008|seed42_clean_test_009,10
42,probabilistic,test,backdoor,10,2770,seed42_probabilistic_test_000|seed42_probabilistic_test_001|seed42_probabilistic_test_002|seed42_probabilistic_test_003|seed42_probabilistic_test_004|seed42_probabilistic_test_005|seed42_probabilistic_test_006|seed42_probabilistic_test_007|seed42_probabilistic_test_008|seed42_probabilistic_test_009,10
42,delayed_effect,train,clean,30,8310,seed42_clean_train_000|seed42_clean_train_001|seed42_clean_train_002|seed42_clean_train_003|seed42_clean_train_004|seed42_clean_train_005|seed42_clean_train_006|seed42_clean_train_007|seed42_clean_train_008|seed42_clean_train_009|seed42_clean_train_010|seed42_clean_train_011|seed42_clean_train_012|seed42_clean_train_013|seed42_clean_train_014|seed42_clean_train_015|seed42_clean_train_016|seed42_clean_train_017|seed42_clean_train_018|seed42_clean_train_019|seed42_clean_train_020|seed42_clean_train_021|seed42_clean_train_022|seed42_clean_train_023|seed42_clean_train_024|seed42_clean_train_025|seed42_clean_train_026|seed42_clean_train_027|seed42_clean_train_028|seed42_clean_train_029,30
42,delayed_effect,train,backdoor,30,8310,seed42_delayed_effect_train_000|seed42_delayed_effect_train_001|seed42_delayed_effect_train_002|seed42_delayed_effect_train_003|seed42_delayed_effect_train_004|seed42_delayed_effect_train_005|seed42_delayed_effect_train_006|seed42_delayed_effect_train_007|seed42_delayed_effect_train_008|seed42_delayed_effect_train_009|seed42_delayed_effect_train_010|seed42_delayed_effect_train_011|seed42_delayed_effect_train_012|seed42_delayed_effect_train_013|seed42_delayed_effect_train_014|seed42_delayed_effect_train_015|seed42_delayed_effect_train_016|seed42_delayed_effect_train_017|seed42_delayed_effect_train_018|seed42_delayed_effect_train_019|seed42_delayed_effect_train_020|seed42_delayed_effect_train_021|seed42_delayed_effect_train_022|seed42_delayed_effect_train_023|seed42_delayed_effect_train_024|seed42_delayed_effect_train_025|seed42_delayed_effect_train_026|seed42_delayed_effect_train_027|seed42_delayed_effect_train_028|seed42_delayed_effect_train_029,30
42,delayed_effect,val,clean,10,2770,seed42_clean_val_000|seed42_clean_val_001|seed42_clean_val_002|seed42_clean_val_003|seed42_clean_val_004|seed42_clean_val_005|seed42_clean_val_006|seed42_clean_val_007|seed42_clean_val_008|seed42_clean_val_009,10
42,delayed_effect,val,backdoor,10,2770,seed42_delayed_effect_val_000|seed42_delayed_effect_val_001|seed42_delayed_effect_val_002|seed42_delayed_effect_val_003|seed42_delayed_effect_val_004|seed42_delayed_effect_val_005|seed42_delayed_effect_val_006|seed42_delayed_effect_val_007|seed42_delayed_effect_val_008|seed42_delayed_effect_val_009,10
42,delayed_effect,test,clean,10,2770,seed42_clean_test_000|seed42_clean_test_001|seed42_clean_test_002|seed42_clean_test_003|seed42_clean_test_004|seed42_clean_test_005|seed42_clean_test_006|seed42_clean_test_007|seed42_clean_test_008|seed42_clean_test_009,10
42,delayed_effect,test,backdoor,10,2770,seed42_delayed_effect_test_000|seed42_delayed_effect_test_001|seed42_delayed_effect_test_002|seed42_delayed_effect_test_003|seed42_delayed_effect_test_004|seed42_delayed_effect_test_005|seed42_delayed_effect_test_006|seed42_delayed_effect_test_007|seed42_delayed_effect_test_008|seed42_delayed_effect_test_009,10
42,stealthy_adaptive,train,clean,30,8310,seed42_clean_train_000|seed42_clean_train_001|seed42_clean_train_002|seed42_clean_train_003|seed42_clean_train_004|seed42_clean_train_005|seed42_clean_train_006|seed42_clean_train_007|seed42_clean_train_008|seed42_clean_train_009|seed42_clean_train_010|seed42_clean_train_011|seed42_clean_train_012|seed42_clean_train_013|seed42_clean_train_014|seed42_clean_train_015|seed42_clean_train_016|seed42_clean_train_017|seed42_clean_train_018|seed42_clean_train_019|seed42_clean_train_020|seed42_clean_train_021|seed42_clean_train_022|seed42_clean_train_023|seed42_clean_train_024|seed42_clean_train_025|seed42_clean_train_026|seed42_clean_train_027|seed42_clean_train_028|seed42_clean_train_029,30
42,stealthy_adaptive,train,backdoor,30,8310,seed42_stealthy_adaptive_train_000|seed42_stealthy_adaptive_train_001|seed42_stealthy_adaptive_train_002|seed42_stealthy_adaptive_train_003|seed42_stealthy_adaptive_train_004|seed42_stealthy_adaptive_train_005|seed42_stealthy_adaptive_train_006|seed42_stealthy_adaptive_train_007|seed42_stealthy_adaptive_train_008|seed42_stealthy_adaptive_train_009|seed42_stealthy_adaptive_train_010|seed42_stealthy_adaptive_train_011|seed42_stealthy_adaptive_train_012|seed42_stealthy_adaptive_train_013|seed42_stealthy_adaptive_train_014|seed42_stealthy_adaptive_train_015|seed42_stealthy_adaptive_train_016|seed42_stealthy_adaptive_train_017|seed42_stealthy_adaptive_train_018|seed42_stealthy_adaptive_train_019|seed42_stealthy_adaptive_train_020|seed42_stealthy_adaptive_train_021|seed42_stealthy_adaptive_train_022|seed42_stealthy_adaptive_train_023|seed42_stealthy_adaptive_train_024|seed42_stealthy_adaptive_train_025|seed42_stealthy_adaptive_train_026|seed42_stealthy_adaptive_train_027|seed42_stealthy_adaptive_train_028|seed42_stealthy_adaptive_train_029,30
42,stealthy_adaptive,val,clean,10,2770,seed42_clean_val_000|seed42_clean_val_001|seed42_clean_val_002|seed42_clean_val_003|seed42_clean_val_004|seed42_clean_val_005|seed42_clean_val_006|seed42_clean_val_007|seed42_clean_val_008|seed42_clean_val_009,10
42,stealthy_adaptive,val,backdoor,10,2770,seed42_stealthy_adaptive_val_000|seed42_stealthy_adaptive_val_001|seed42_stealthy_adaptive_val_002|seed42_stealthy_adaptive_val_003|seed42_stealthy_adaptive_val_004|seed42_stealthy_adaptive_val_005|seed42_stealthy_adaptive_val_006|seed42_stealthy_adaptive_val_007|seed42_stealthy_adaptive_val_008|seed42_stealthy_adaptive_val_009,10
42,stealthy_adaptive,test,clean,10,2770,seed42_clean_test_000|seed42_clean_test_001|seed42_clean_test_002|seed42_clean_test_003|seed42_clean_test_004|seed42_clean_test_005|seed42_clean_test_006|seed42_clean_test_007|seed42_clean_test_008|seed42_clean_test_009,10
42,stealthy_adaptive,test,backdoor,10,2770,seed42_stealthy_adaptive_test_000|seed42_stealthy_adaptive_test_001|seed42_stealthy_adaptive_test_002|seed42_stealthy_adaptive_test_003|seed42_stealthy_adaptive_test_004|seed42_stealthy_adaptive_test_005|seed42_stealthy_adaptive_test_006|seed42_stealthy_adaptive_test_007|seed42_stealthy_adaptive_test_008|seed42_stealthy_adaptive_test_009,10
